Title,Date
"Team Kaylie: Part 3: Purr-fect Harmony","5/2/20"
"The Hockey Girls: Season 1: Anna","5/2/20"
"Team Kaylie: Part 3: Fears of a Clown","5/2/20"
"Team Kaylie: Part 3: Warlocks & Headlocks","5/2/20"
"Team Kaylie: Part 3: Pod Awful","5/2/20"
"Team Kaylie: Part 3: 19 is the New 15","5/2/20"
"Team Kaylie: Part 3: The Old Witcheroo","5/2/20"
"Team Kaylie: Part 3: An Ex to Grind","5/2/20"
"Riverdale: Season 4: Chapter Seventy-Five: Lynchian","5/2/20"
"Team Kaylie: Part 2: A Very Konrad Kristmas","5/2/20"
"Team Kaylie: Part 2: Swing and a Mess","5/2/20"
"Team Kaylie: Part 2: Party Pooperazzi","5/1/20"
"Team Kaylie: Part 2: The Fundrager","5/1/20"
"Team Kaylie: Part 2: Ship Out of Luck","5/1/20"
"Team Kaylie: Part 2: Winging It","5/1/20"
"The Half Of It","5/1/20"
"Team Kaylie: Part 1: Wax On, Wax Off","4/30/20"
"Team Kaylie: Part 1: Cut It Out!","4/30/20"
"Team Kaylie: Part 1: Lights, Camera, Retraction","4/30/20"
"Team Kaylie: Part 1: Invasion of the Lumberjerks","4/30/20"
"Team Kaylie: Part 1: Be-wilderness","4/30/20"
"Dangerous Lies","4/30/20"
"My Little Pony: Friendship Is Magic: Season 1: Friendship Is Magic: Part 1","4/30/20"
"Baby: Season 1: Superpowers","4/30/20"
"Summertime: Season 1: Another Winter","4/29/20"
"Summertime: Season 1: Don't You Cry","4/29/20"
"Summertime: Season 1: Those Who Remain","4/29/20"
"Summertime: Season 1: Without You","4/29/20"
"Summertime: Season 1: A Glimpse of Peace","4/29/20"
"Summertime: Season 1: A Moment at Night","4/29/20"
"Summertime: Season 1: Just You & I","4/29/20"
"Summertime: Season 1: I Hate Summer","4/29/20"
"Too Hot to Handle: Season 1: When Harry Met Francesca","4/28/20"
"Too Hot to Handle: Season 1: Love, Sex or Money","4/27/20"
"Love 101: Season 1: The First Moment","4/27/20"
"Never Have I Ever: Season 1: ... said I'm sorry","4/27/20"
"Never Have I Ever: Season 1: ... had to be on my best behavior","4/27/20"
"Never Have I Ever: Season 1: ... pissed off everyone I know","4/27/20"
"Never Have I Ever: Season 1: ... been a big, fat liar","4/27/20"
"Never Have I Ever: Season 1: ... been the loneliest boy in the world","4/27/20"
"Never Have I Ever: Season 1: ... started a nuclear war","4/27/20"
"Never Have I Ever: Season 1: ... felt super Indian","4/27/20"
"Never Have I Ever: Season 1: ... gotten drunk with the popular kids","4/27/20"
"Never Have I Ever: Season 1: ... had sex with Paxton Hall-Yoshida","4/27/20"
"Riverdale: Season 4: Chapter Seventy-Four: Wicked Little Town","4/19/20"
"Tiger King: Murder, Mayhem and Madness: Limited Series: Not Your Average Joe","4/18/20"
"Riverdale: Season 4: Chapter Seventy-Three: The Locked Room","4/18/20"
"Riverdale: Season 4: Chapter Seventy-Two: To Die For","4/18/20"
"Riverdale: Season 4: Chapter Seventy-One: How To Get Away With Murder","4/18/20"
"Dead to Me: Season 1: Pilot","4/17/20"
"Lucifer: Season 1: Pilot","4/16/20"
"Lucifer: Season 4: Somebody’s Been Reading Dante’s Inferno","4/16/20"
"The Addams Family","4/16/20"
"Trinkets: Season 1: The Great Escape","4/16/20"
"Elite: Season 1: Welcome","4/15/20"
"Pretty Little Liars: Season 1: For Whom the Bell Tolls","4/12/20"
"Pretty Little Liars: Season 1: Monsters in the End","4/12/20"
"Pretty Little Liars: Season 1: Someone to Watch Over Me","4/12/20"
"Pretty Little Liars: Season 1: A Person of Interest","4/12/20"
"Pretty Little Liars: Season 1: The Badass Seed","4/12/20"
"Pretty Little Liars: Season 1: The New Normal","4/12/20"
"Pretty Little Liars: Season 1: Je Suis Une Amie","4/12/20"
"Pretty Little Liars: Season 1: If at First You Don't Succeed, Lie, Lie Again","4/12/20"
"Pretty Little Liars: Season 1: Careful What U Wish 4","4/12/20"
"Pretty Little Liars: Season 1: Know Your Frenemies","4/12/20"
"Pretty Little Liars: Season 1: Salt Meets Wound","4/12/20"
"Pretty Little Liars: Season 1: Moments Later","4/12/20"
"Pretty Little Liars: Season 1: Keep Your Friends Close","4/12/20"
"Pretty Little Liars: Season 1: The Perfect Storm","4/12/20"
"Pretty Little Liars: Season 1: Please, Do Talk About Me When I'm Gone","4/12/20"
"Pretty Little Liars: Season 1: The Homecoming Hangover","4/12/20"
"Pretty Little Liars: Season 1: There's No Place Like Homecoming","4/12/20"
"Pretty Little Liars: Season 1: Reality Bites Me","4/12/20"
"Pretty Little Liars: Season 1: Can You Hear Me Now?","4/9/20"
"Trinkets: Season 1: Night Market","4/8/20"
"Kölcsönlakás","4/7/20"
"V Wars: Season 1: Blood Brothers","4/7/20"
"V Wars: Season 1: Down with the Sickness","4/7/20"
"Love Is Blind: Season 1: Will You Marry Me?","4/4/20"
"Trinkets: Season 1: Monday I'm in Love","4/1/20"
"Trinkets: Season 1: Truth Serum","4/1/20"
"Riverdale: Season 4: Chapter Seventy: The Ides of March","4/1/20"
"Trinkets: Season 1: Rearview Mirror","4/1/20"
"Trinkets: Season 1: Big Mistake","3/28/20"
"Trinkets: Season 1: Happy F**king Birthday","3/28/20"
"Trinkets: Season 1: P*ssy Palace","3/28/20"
"Trinkets: Season 1: Paper Tiger","3/28/20"
"Trinkets: Season 1: Mirror Faces","3/28/20"
"The Perfect Date","3/27/20"
"Good Girls: Season 1: Pilot","3/27/20"
"Fifty Shades of Black","3/27/20"
"Swiped","3/27/20"
"The Crown: Season 1: Wolferton Splash","3/27/20"
"Riverdale: Season 4: Chapter Sixty-Nine: Men of Honor","3/26/20"
"Riverdale: Season 4: Chapter Sixty-Eight Quiz Show","3/26/20"
"Riverdale: Season 4: Chapter Sixty-Seven: Varsity Blues","3/26/20"
"Riverdale: Season 4: Chapter Sixty-Six: Tangerine","3/25/20"
"Riverdale: Season 4: Chapter Sixty-Five: “In Treatment”","3/25/20"
"Orange Is the New Black: Season 1: Tit Punch","3/24/20"
"Orange Is the New Black: Season 1: I Wasn't Ready","3/24/20"
"Riverdale: Season 4: Chapter Sixty-Four: “The Ice Storm”","3/24/20"
"Friends: Season 1: The One with the Monkey","3/24/20"
"Friends: Season 1: The One Where Underdog Gets Away","3/24/20"
"Friends: Season 1: The One Where Nana Dies Twice","3/24/20"
"Friends: Season 1: The One with the Blackout","3/24/20"
"Sierra Burgess Is a Loser","3/23/20"
"Riverdale: Season 4: Chapter Sixty-Three: “Hereditary”","3/23/20"
"Riverdale: Season 4: Chapter Sixty-Two: Witness for the Prosecution","3/23/20"
"Riverdale: Season 4: Chapter Sixty-One: “Halloween”","3/23/20"
"Riverdale: Season 4: Chapter Sixty: Dog Day Afternoon","3/23/20"
"Riverdale: Season 4: Chapter Fifty-Nine: Fast Times at Riverdale High","3/23/20"
"Riverdale: Season 3: Chapter Fifty-Seven: Survive the Night","3/23/20"
"Riverdale: Season 3: Chapter Fifty-Six: The Dark Secret of Harvest House","3/23/20"
"Riverdale: Season 3: Chapter Fifty-Five: Prom Night","3/23/20"
"Riverdale: Season 3: Chapter Fifty-Four: “Fear the Reaper”","3/22/20"
"Riverdale: Season 3: Chapter Fifty-Three: Jawbreaker","3/22/20"
"Riverdale: Season 3: Chapter Fifty-Two: “The Raid”","3/22/20"
"Riverdale: Season 3: Chapter Fifty-One: Big Fun","3/22/20"
"Riverdale: Season 3: Chapter Fifty: American Dreams","3/22/20"
"Riverdale: Season 3: Chapter Forty-Nine: Fire Walk With Me","3/22/20"
"Alexa & Katie: Part 3: Panic! At the Putt Putt","3/22/20"
"Alexa & Katie: Part 3: It's Just ... Weird","3/22/20"
"Alexa & Katie: Part 3: Writer-Director-Nervous Wreck","3/22/20"
"Alexa & Katie: Part 3: All I Want for Christmas Is You","3/22/20"
"Alexa & Katie: Part 3: Unconsciously Coupling","3/22/20"
"Alexa & Katie: Part 3: Always Something There to Remind Me","3/22/20"
"Alexa & Katie: Part 3: Stupid Binder","3/22/20"
"To All the Boys I’ve Loved Before","3/22/20"
"To All the Boys: P.S. I Still Love You","3/21/20"
"Pitch Perfect 3","3/21/20"
"Chilling Adventures of Sabrina: Part 3: Chapter Twenty-Eight: Sabrina Is Legend","3/21/20"
"Chilling Adventures of Sabrina: Part 3: Chapter Twenty-Seven: The Judas Kiss","3/21/20"
"Chilling Adventures of Sabrina: Part 3: Chapter Twenty-Six: All of Them Witches","3/21/20"
"Alexa & Katie: Part 3: 1st Day of Junior Year","3/21/20"
"Alexa & Katie: Part 2: Sweet Sixteen","3/21/20"
"Alexa & Katie: Part 2: New Year's ... Whoops","3/21/20"
"Alexa & Katie: Part 2: The Ghost of Cancer Past","3/21/20"
"Alexa & Katie: Part 2: Katie's Beautiful Mind","3/21/20"
"Riverdale: Season 3: Chapter Forty-Eight: Requiem for a Welterweight","3/20/20"
"Riverdale: Season 3: Chapter	Forty-Seven:	Bizarrodale","3/20/20"
"Riverdale: Season 3: Chapter Forty-Six: The Red Dahlia","3/20/20"
"Chilling Adventures of Sabrina: Part 3: Chapter Twenty-Five: The Devil Within","3/20/20"
"Chilling Adventures of Sabrina: Part 3: Chapter Twenty-Four: The Hare Moon","3/20/20"
"Chilling Adventures of Sabrina: Part 3: Chapter Twenty-Three: Heavy Is the Crown","3/20/20"
"Chilling Adventures of Sabrina: Part 3: Chapter Twenty-Two: Drag Me to Hell","3/20/20"
"Alexa & Katie: Part 2: Shop 'Til You Cry","3/20/20"
"Alexa & Katie: Part 2: PB Without J","3/20/20"
"Alexa & Katie: Part 2: Tryouts and Latte Doubts","3/20/20"
"Alexa & Katie: Part 2: #GWENCAS","3/20/20"
"Just Sex and Nothing Else","3/19/20"
"Isn't It Romantic","3/19/20"
"Chilling Adventures of Sabrina: Part 3: Chapter Twenty-One: The Hellbound Heart","3/19/20"
"Chilling Adventures of Sabrina: Part 2: Chapter Twenty: The Mephisto Waltz","3/19/20"
"Chilling Adventures of Sabrina: Part 2: Chapter Nineteen: The Mandrake","3/19/20"
"Chilling Adventures of Sabrina: Part 2: Chapter Eighteen: The Miracles of Sabrina Spellman","3/19/20"
"Alexa & Katie: Part 2: ChoreCats","3/19/20"
"Alexa & Katie: Part 2: Second First Day","3/19/20"
"Alexa & Katie: Part 1: Winter Formal, Part 2","3/19/20"
"Alexa & Katie: Part 1: Winter Formal, Part 1","3/19/20"
"Alexa & Katie: Part 1: Secret Sleepover","3/19/20"
"Chilling Adventures of Sabrina: Part 2: Chapter Seventeen: The Missionaries","3/18/20"
"Chilling Adventures of Sabrina: Part 2: Chapter Sixteen: Blackwood","3/18/20"
"Chilling Adventures of Sabrina: Part 2: Chapter Fifteen: Doctor Cerberus's House of Horror","3/18/20"
"Chilling Adventures of Sabrina: Part 2: Chapter Fourteen: Lupercalia","3/18/20"
"Chilling Adventures of Sabrina: Part 2: Chapter Thirteen: The Passion of Sabrina Spellman","3/18/20"
"Chilling Adventures of Sabrina: Part 2: Chapter Twelve: The Epiphany","3/18/20"
"Alexa & Katie: Part 1: Thanksgiving","3/18/20"
"Alexa & Katie: Part 1: Winter Luau","3/18/20"
"Alexa & Katie: Part 1: Support Group","3/18/20"
"Alexa & Katie: Part 1: The Play, Part 2","3/18/20"
"Chilling Adventures of Sabrina: Part 1: Chapter Eleven: A Midwinter's Tale","3/17/20"
"Chilling Adventures of Sabrina: Part 1: Chapter Ten: The Witching Hour","3/17/20"
"Chilling Adventures of Sabrina: Part 1: Chapter Nine: The Returned Man","3/17/20"
"Chilling Adventures of Sabrina: Part 1: Chapter Eight: The Burial","3/17/20"
"Chilling Adventures of Sabrina: Part 1: Chapter Seven: Feast of Feasts","3/17/20"
"The Magic School Bus: Season 1: The Magic School Bus Gets Lost in Space","3/17/20"
"Alexa & Katie: Part 1: Picture Day","3/17/20"
"Alexa & Katie: Part 1: The Play, Part 1","3/17/20"
"Alexa & Katie: Part 1: Ungroundable","3/16/20"
"Alexa & Katie: Part 1: Basketball","3/16/20"
"Alexa & Katie: Part 1: Wigs","3/16/20"
"Alexa & Katie: Part 1: Bad Hair Day","3/16/20"
"Sugar Rush: Season 2: Trending Treats","3/16/20"
"Chilling Adventures of Sabrina: Part 1: Chapter Six: An Exorcism in Greendale","3/15/20"
"Always a Witch: Season 1: A Leap in Time","3/15/20"
"Fifty Shades Freed","3/14/20"
"Mako Mermaids: An H2O Adventure: Season 1: Getting Legs","3/14/20"
"Chilling Adventures of Sabrina: Part 1: Chapter Five: Dreams in a Witch House","3/12/20"
"Chilling Adventures of Sabrina: Part 1: Chapter Four: Witch Academy","3/12/20"
"Chilling Adventures of Sabrina: Part 1: Chapter Three: The Trial of Sabrina Spellman","3/11/20"
"Chilling Adventures of Sabrina: Part 1: Chapter Two: The Dark Baptism","3/11/20"
"Chilling Adventures of Sabrina: Part 1: Chapter One: October Country","3/10/20"
"Vampire Academy","3/10/20"
"The End of the F***ing World: Season 1: Episode 4","3/9/20"
"The End of the F***ing World: Season 1: Episode 3","3/9/20"
"Dirty Dancing","3/8/20"
"Insatiable: Season 2: The Most You You Can Be","3/8/20"
"Insatiable: Season 2: Ladybomb","3/8/20"
"Insatiable: Season 2: Pretty in Prison","3/8/20"
"Insatiable: Season 2: Full Brazilian","3/8/20"
"Insatiable: Season 2: Eat and Run","3/8/20"
"Insatiable: Season 2: Finding Magnolia","3/7/20"
"Insatiable: Season 2: Poison Patty","3/7/20"
"Insatiable: Season 2: Boomerang","3/7/20"
"Insatiable: Season 2: Dead Girl","3/7/20"
"Insatiable: Season 2: Pig","3/7/20"
"Insatiable: Season 1: Why Bad Things Happen","3/7/20"
"Insatiable: Season 1: Winners Win. Period.","3/7/20"
"Insatiable: Season 1: Banana Heart Banana","3/7/20"
"Insatiable: Season 1: Bad Kitty","3/7/20"
"Insatiable: Season 1: Wieners and Losers","3/7/20"
"Insatiable: Season 1: Miss Magic Jesus","3/6/20"
"Insatiable: Season 1: Dunk 'N' Donut","3/6/20"
"You: Season 2: A Fresh Start","3/6/20"
"You: Season 1: Bluebeard's Castle","3/6/20"
"Insatiable: Season 1: Bikinis and Bitches","3/6/20"
"You: Season 1: Candace","3/6/20"
"You: Season 1: You Got Me, Babe","3/6/20"
"Insatiable: Season 1: WMBS","3/5/20"
"Insatiable: Season 1: Miss Bareback Buckaroo","3/5/20"
"Insatiable: Season 1: Skinny Is Magic","3/5/20"
"Insatiable: Season 1: Pilot","3/5/20"
"Riverdale: Season 3: Chapter Forty-Five: The Stranger","3/5/20"
"You: Season 1: Everythingship","3/3/20"
"You: Season 1: Amour Fou","3/1/20"
"You: Season 1: Living with the Enemy","3/1/20"
"You: Season 1: The Captain","3/1/20"
"Friends: Season 1: The One with the Butt","3/1/20"
"Friends: Season 1: The One with the East German Laundry Detergent","3/1/20"
"Friends: Season 1: The One with George Stephanopoulos","3/1/20"
"Friends: Season 1: The One with the Thumb","3/1/20"
"Friends: Season 1: The One with the Sonogram at the End","2/29/20"
"Friends: Season 1: The One Where Monica Gets a Roommate (Pilot)","2/29/20"
"The End of the F***ing World: Season 1: Episode 2","2/29/20"
"Someone Great","2/29/20"
"I Am Not Okay With This: Season 1: Deepest, Darkest Secret","2/29/20"
"Love Is Blind: Season 1: Is Love Blind?","2/29/20"
"Tall Girl","2/28/20"
"The End of the F***ing World: Season 1: Episode 1","2/27/20"
"You Me Her: Season 1: Cigarettes and Funions and Crap","2/27/20"
"The Hockey Girls: Season 1: Emma","2/27/20"
"I Am Not Okay With This: Season 1: Like Father, Like Daughter","2/27/20"
"I Am Not Okay With This: Season 1: Another Day in Paradise","2/27/20"
"I Am Not Okay With This: Season 1: Stan by Me","2/26/20"
"I Am Not Okay With This: Season 1: The Party's Over","2/26/20"
"I Am Not Okay With This: Season 1: The Master of One F**k","2/26/20"
"I Am Not Okay With This: Season 1: Dear Diary...","2/26/20"
"Jumanji: Welcome to the Jungle","2/24/20"
"Murder Mystery","2/24/20"
"13 Reasons Why: Season 2: The Drunk Slut","2/23/20"
"Pretty Little Liars: Season 1: To Kill a Mocking Girl","2/23/20"
"Riverdale: Season 3: Chapter Forty-Four: No Exit","2/21/20"
"Riverdale: Season 3: Chapter Forty-Three: Outbreak","2/21/20"
"Riverdale: Season 3: Chapter Forty-Two: The Man in Black","2/21/20"
"Riverdale: Season 3: Chapter Forty-One: Manhunter","2/21/20"
"Riverdale: Season 3: Chapter Forty: The Great Escape","2/21/20"
"Sex Education: Season 1: Episode 1","2/20/20"
"Riverdale: Season 3: Chapter Thirty-Nine: The Midnight Club","2/20/20"
"Riverdale: Season 3: Chapter Thirty-Eight: “As Above, So Below”","2/20/20"
"Riverdale: Season 3: Chapter Thirty-Seven: Fortune and Men's Eyes","2/19/20"
"Riverdale: Season 3: Chapter Thirty-Six: Labor Day","2/18/20"
"Riverdale: Season 2: Chapter Thirty-Five: Brave New World","2/18/20"
"Riverdale: Season 2: Chapter Thirty-Four: Judgment Night","2/17/20"
"Riverdale: Season 2: Chapter Thirty-Three: Shadow of a Doubt","2/17/20"
"Riverdale: Season 2: Chapter Thirty-Two: Prisoners","2/17/20"
"Riverdale: Season 2: Chapter Thirty-One: A Night to Remember","2/14/20"
"Riverdale: Season 2: Chapter Thirty: The Noose Tightens","2/14/20"
"Riverdale: Season 2: Chapter Twenty-Nine: Primary Colors","2/14/20"
"Sex Education: Season 2: Episode 8","2/13/20"
"Riverdale: Season 2: Chapter Twenty-Eight: There Will Be Blood","2/13/20"
"Riverdale: Season 2: Chapter Twenty-Seven: The Hills Have Eyes","2/11/20"
"Riverdale: Season 2: Chapter Twenty-Six: The Tell-Tale Heart","2/11/20"
"Riverdale: Season 2: Chapter Twenty-Five: The Wicked and the Divine","2/11/20"
"Riverdale: Season 2: Chapter Twenty-Four: The Wrestler","2/10/20"
"Sex Education: Season 2: Episode 7","2/9/20"
"Sex Education: Season 2: Episode 6","2/9/20"
"Sex Education: Season 2: Episode 5","2/9/20"
"You: Season 1: Maybe","2/9/20"
"Sex Education: Season 2: Episode 4","2/9/20"
"Sex Education: Season 2: Episode 3","2/9/20"
"Sex Education: Season 2: Episode 2","2/9/20"
"Sex Education: Season 2: Episode 1","2/9/20"
"You: Season 1: The Last Nice Guy in New York","2/9/20"
"Sex Education: Season 1: Episode 8","2/9/20"
"Sex Education: Season 1: Episode 7","2/9/20"
"Sex Education: Season 1: Episode 6","2/9/20"
"Sex Education: Season 1: Episode 5","2/9/20"
"Sex Education: Season 1: Episode 4","2/9/20"
"Pretty Little Liars: Season 1: The Jenna Thing","2/7/20"
"Riverdale: Season 2: Chapter Twenty-Three: The Blackboard Jungle","2/7/20"
"Sex Education: Season 1: Episode 3","2/6/20"
"Sex Education: Season 1: Episode 2","2/6/20"
"Riverdale: Season 2: Chapter Twenty-Two: Silent Night, Deadly Night","2/6/20"
"Riverdale: Season 2: Chapter Twenty-One: House of the Devil","2/6/20"
"Riverdale: Season 2: Chapter Twenty: Tales from the Darkside","2/6/20"
"Riverdale: Season 2: Chapter Nineteen: Death Proof","2/6/20"
"Riverdale: Season 2: Chapter Eighteen: When a Stranger Calls","2/6/20"
"Riverdale: Season 2: Chapter Seventeen: The Town That Dreaded Sundown","2/6/20"
"Riverdale: Season 2: Chapter Sixteen: The Watcher in the Woods","2/6/20"
"Lucifer: Season 4: Everything's Okay","2/6/20"
"Riverdale: Season 2: Chapter Fifteen: Nighthawks","2/5/20"
"Riverdale: Season 2: Chapter Fourteen: A Kiss Before Dying","2/5/20"
"Riverdale: Season 1: Chapter Thirteen: The Sweet Hereafter","2/5/20"
"Riverdale: Season 1: Chapter Twelve: Anatomy of a Murder","2/5/20"
"Riverdale: Season 1: Chapter Eleven: To Riverdale and Back Again","2/5/20"
"Hotel Transylvania 2","2/5/20"
"Riverdale: Season 1: Chapter Ten: The Lost Weekend","2/4/20"
"Riverdale: Season 1: Chapter Nine: La Grande Illusion","2/4/20"
"Riverdale: Season 1: Chapter Eight: The Outsiders","2/4/20"
"Riverdale: Season 1: Chapter Seven: In a Lonely Place","2/4/20"
"Riverdale: Season 1: Chapter Six: Faster, Pussycats! Kill! Kill!","2/4/20"
"Riverdale: Season 1: Chapter Five: Heart of Darkness","2/4/20"
"Riverdale: Season 1: Chapter Four: The Last Picture Show","2/4/20"
"Riverdale: Season 1: Chapter Three: Body Double","2/4/20"
"Riverdale: Season 1: Chapter Two: Touch of Evil","2/4/20"
"You: Season 1: Pilot","2/3/20"
"13 Reasons Why: Season 2: Two Girls Kissing","2/2/20"
"13 Reasons Why: Season 2: The First Polaroid","2/2/20"
"13 Reasons Why: Season 1: Tape 7, Side A","2/2/20"
"13 Reasons Why: Season 1: Tape 6, Side B","2/2/20"
"13 Reasons Why: Season 1: Tape 6, Side A","2/2/20"
"13 Reasons Why: Season 1: Tape 5, Side B","2/2/20"
"13 Reasons Why: Season 1: Tape 5, Side A","2/2/20"
"13 Reasons Why: Season 1: Tape 4, Side B","2/2/20"
"Mako Mermaids: An H2O Adventure: Season 1: Outcasts","2/2/20"
"BÚÉK","2/1/20"
"White Chicks","2/1/20"
"13 Reasons Why: Season 1: Tape 4, Side A","2/1/20"
"13 Reasons Why: Season 1: Tape 3, Side B","2/1/20"
"13 Reasons Why: Season 1: Tape 3, Side A","2/1/20"
"13 Reasons Why: Season 1: Tape 2, Side B","2/1/20"
"13 Reasons Why: Season 1: Tape 2, Side A","2/1/20"
"13 Reasons Why: Season 1: Tape 1, Side B","1/31/20"
